rho,n_levels,frequency,cond,amplification,lambda_spread,sigma_hi,sigma_lo
12.5,4,8,581.3844251908323,6.566794017873309,1.4462729503109546,79.99999999999997,50.5839159141715
12.5,5,16,7049.669102607693,7.7141457483463345,2.238306069252329,79.99999999999997,31.43081353392487
13.0,2,2,8.005598250816826,3.002799125408413,1.0543248325115053,80.00000000000007,71.33635495965235
13.0,3,4,60.33953530541623,5.030190969779427,1.172814677119233,80.00000000000007,63.54611945166322
13.0,4,8,581.5688717062922,6.571575090718806,1.4554235998478338,80.00000000000007,50.267217040709355
13.0,5,16,7027.921753792378,7.727822479432616,2.2684373907376107,80.00000000000007,31.045460137136494
13.5,2,2,8.005781234849023,3.0028906174245114,1.0552291942337129,79.9999999999999,71.2294803959689
13.5,3,4,60.35058075173821,5.031173452342278,1.1758279609032218,79.9999999999999,63.356623685153416
13.5,4,8,581.7458807731475,6.576165874222231,1.4641184434434782,79.9999999999999,49.970427497075924
13.5,5,16,7007.232282971037,7.740903292936788,2.297228838561985,79.9999999999999,30.686945842718295
14.0,2,2,8.005957151522844,3.0029785757614222,1.0560859337466857,79.99999999999993,71.12860751606857
14.0,3,4,60.36119694645665,5.032117773498609,1.1786865224365963,79.99999999999993,63.178082577119454
14.0,4,8,581.9158077747711,6.580575263763611,1.472389363983051,79.99999999999993,49.69176709197909
14.0,5,16,6987.5363605521625,7.753420908956565,2.324761450912703,79.99999999999993,30.352628500086297
14.5,2,2,8.00612632588453,3.003063162942265,1.0568986175491892,79.99999999999997,71.03325457872226
14.5,3,4,60.371403841131986,5.033025705621144,1.1814016386619204,79.99999999999997,63.00959140562116
14.5,4,8,582.078998038191,6.584811929845544,1.480265506127726,79.99999999999997,49.42965684660029
14.5,5,16,6968.773258428533,7.765406476743598,2.3511106469095666,79.99999999999997,30.04019375563968
15.0,2,2,8.00628907387308,3.0031445369365404,1.0576704766809883,80.0,70.94298884611985
15.0,3,4,60.38122080035269,5.033898969101332,1.1839835581276241,80.0,62.8503401784895
15.0,4,8,582.2357845713847,6.588884255718317,1.4877735378425792,80.0,49.18269208287315
15.0,5,16,6950.88589416394,7.776889510202901,2.3763465790119245,80.0,29.74760691976172
