frequency,block_index,n_blocks,n_levels,rho,sigma_hi,sigma_lo,lambda_spread,cond,amplification,growth
8,15,16,4,7.0,0.006973725158819676,0.0,4.706480368435063,723.4311238449753,8.304186583490598,1.0
16,0,8,2,7.0,80.0,38.78497188103633,1.7890911398639142,4.275657541545821,1.1378287707729107,1.0
16,0,8,3,7.0,80.0,38.78497188103633,1.7890911398639142,45.12119331258823,1.9091974692359064,1.0
16,0,8,4,7.0,80.0,38.78497188103633,1.7890911398639142,612.6627952319286,4.136484735267409,1.0
16,0,8,5,7.0,80.0,38.78497188103633,1.7890911398639142,7378.349815445434,7.514813091783864,1.0
16,1,8,2,7.0,38.78497188103633,17.295168538206728,1.9133727718800801,4.277823635729011,1.1389118178645057,1.0
16,1,8,3,7.0,38.78497188103633,17.295168538206728,1.9133727718800801,45.07378533042137,1.9141020031397864,1.0
16,1,8,4,7.0,38.78497188103633,17.295168538206728,1.9133727718800801,610.2518404447234,4.153080694039462,1.0
16,1,8,5,7.0,38.78497188103633,17.295168538206728,1.9133727718800801,7287.002273804743,7.567554458132615,1.0
16,2,8,2,7.0,17.295168538206728,6.940300090653309,2.082523366376715,4.28087341969597,1.140436709847985,1.0
16,2,8,3,7.0,17.295168538206728,6.940300090653309,2.082523366376715,45.009411844564326,1.9210162133691138,1.0
16,2,8,4,7.0,17.295168538206728,6.940300090653309,2.082523366376715,606.9000994592076,4.176308174614974,1.0
16,2,8,5,7.0,17.295168538206728,6.940300090653309,2.082523366376715,7160.939815313324,7.640371962651379,1.0
16,3,8,2,7.0,6.940300090653309,2.427924328448239,2.325127349222353,4.2853579994771005,1.1426789997385502,1.0
16,3,8,3,7.0,6.940300090653309,2.427924328448239,2.325127349222353,44.9197145736385,1.9312034591241365,1.0
16,3,8,4,7.0,6.940300090653309,2.427924328448239,2.325127349222353,602.0637001127996,4.210180826242729,1.0
16,3,8,5,7.0,6.940300090653309,2.427924328448239,2.325127349222353,6981.33548954531,7.744638370443061,1.0
16,4,8,2,7.0,2.427924328448239,0.7052757203540041,2.699357768384895,4.292330788588936,1.146165394294468,1.0
16,4,8,3,7.0,2.427924328448239,0.7052757203540041,2.699357768384895,44.79169583815264,1.9470958797027351,1.0
16,4,8,4,7.0,2.427924328448239,0.7052757203540041,2.699357768384895,594.7658027224655,4.26222554221131,1.0
16,4,8,5,7.0,2.427924328448239,0.7052757203540041,2.699357768384895,6716.542922845396,7.900978121820516,1.0
16,5,8,2,7.0,0.7052757203540041,0.15699739477438232,3.342102109291122,4.304006354870219,1.1520031774351094,1.0
16,5,8,3,7.0,0.7052757203540041,0.15699739477438232,3.342102109291122,44.60737361493538,1.97387294846701,1.0
16,5,8,4,7.0,0.7052757203540041,0.15699739477438232,3.342102109291122,583.1638778446217,4.347877271905514,1.0
16,5,8,5,7.0,0.7052757203540041,0.15699739477438232,3.342102109291122,6314.14295409477,8.15052474775387,1.0
16,6,8,2,7.0,0.15699739477438232,0.02312115010983397,4.654665773758459,4.325669078157328,1.162834539078664,1.0
16,6,8,3,7.0,0.15699739477438232,0.02312115010983397,4.654665773758459,44.35905700231679,2.024225850827566,1.0
16,6,8,4,7.0,0.15699739477438232,0.02312115010983397,4.654665773758459,563.7331841125011,4.502987624752049,1.0
16,6,8,5,7.0,0.15699739477438232,0.02312115010983397,4.654665773758459,5699.964231703763,8.590338656932355,1.0
16,7,8,2,7.0,0.02312115010983397,0.0,7.0642468759984505,4.351334686166408,1.1756673430832039,1.0
16,7,8,3,7.0,0.02312115010983397,0.0,7.0642468759984505,45.84711620629403,2.126386682864802,1.0
16,7,8,4,7.0,0.02312115010983397,0.0,7.0642468759984505,589.1573249537026,4.908002727340703,1.0
16,7,8,5,7.0,0.02312115010983397,0.0,7.0642468759984505,6304.735369899547,10.05846538423837,1.0
32,0,4,2,7.0,80.0,17.295168538206728,3.565972286544049,4.1471458851979195,1.0735729425989597,1.0
32,0,4,3,7.0,80.0,17.295168538206728,3.565972286544049,36.71477144681055,1.417783680752825,1.0
32,0,4,4,7.0,80.0,17.295168538206728,3.565972286544049,834.3013472993966,2.640406164442744,1.0
32,0,4,5,7.0,80.0,17.295168538206728,3.565972286544049,5916.589096028333,4.491404850199505,1.0
32,0,4,6,7.0,80.0,17.295168538206728,3.565972286544049,98086.38705789049,8.280990344083456,1.0
32,1,4,2,7.0,17.295168538206728,2.427924328448239,5.101846487151439,4.157839542400955,1.0789197712004777,1.0
32,1,4,3,7.0,17.295168538206728,2.427924328448239,5.101846487151439,36.29668514878989,1.440045713325313,1.0
32,1,4,4,7.0,17.295168538206728,2.427924328448239,5.101846487151439,763.3004215110055,2.702455908239491,1.0
32,1,4,5,7.0,17.295168538206728,2.427924328448239,5.101846487151439,5130.653122935166,4.591423462963165,1.0
32,1,4,6,7.0,17.295168538206728,2.427924328448239,5.101846487151439,76897.29648773627,8.537553895111515,1.0
32,2,4,2,7.0,2.427924328448239,0.15699739477438232,9.699197976630304,4.181067916637257,1.0905339583186286,1.0
32,2,4,3,7.0,2.427924328448239,0.15699739477438232,9.699197976630304,35.76043026912057,1.4904494228408027,1.0
32,2,4,4,7.0,2.427924328448239,0.15699739477438232,9.699197976630304,653.8681405281791,2.833191030674682,1.0
32,2,4,5,7.0,2.427924328448239,0.15699739477438232,9.699197976630304,4058.9369174641693,4.803357746940124,1.0
32,2,4,6,7.0,2.427924328448239,0.15699739477438232,9.699197976630304,52467.44723948382,9.093692094494942,1.0
32,3,4,2,7.0,0.15699739477438232,0.0,37.000426084118175,4.239517041348747,1.1197585206743734,1.0
32,3,4,3,7.0,0.15699739477438232,0.0,37.000426084118175,36.562608069555495,1.6419722482435342,1.0
32,3,4,4,7.0,0.15699739477438232,0.0,37.000426084118175,520.1507100521459,3.201659502156855,1.0
32,3,4,5,7.0,0.15699739477438232,0.0,37.000426084118175,3203.3246141139666,5.551433468394334,1.0
32,3,4,6,7.0,0.15699739477438232,0.0,37.000426084118175,30726.980350521513,10.783507212994593,1.0
