problem,is_linear,n_levels,frequency,reuse_mode,block_width,sigma_hi,sigma_lo,rms_error,nfe,nfe_overhead,max_cond,mean_amplification
bimodal_sep4_d1,False,4,8,denoised,0.2,2.0,1.8,2.573388427307335e-05,8,0,576.340002995132,6.437195856863058
bimodal_sep4_d1,False,4,8,denoised,0.1,2.0,1.9,2.9113604712543742e-06,8,0,576.0806125159879,6.430615235204094
bimodal_sep4_d1,False,4,8,denoised,0.05,2.0,1.95,3.4666581525535357e-07,8,0,576.0196412793505,6.429069346392388
bimodal_sep4_d1,False,4,8,denoised,0.025,2.0,1.975,4.230691452217342e-08,8,0,576.004848457206,6.428694336378891
bimodal_sep4_d1,False,4,8,derivative,0.8,2.0,1.2,0.001989460299521283,8,0,583.9101891862194,6.632057353424167
bimodal_sep4_d1,False,4,8,derivative,0.4,2.0,1.6,0.0001589416392272709,8,0,577.5226234631003,6.467279155072164
bimodal_sep4_d1,False,4,8,derivative,0.2,2.0,1.8,1.7211062010351764e-05,8,0,576.340002995132,6.437195856863058
bimodal_sep4_d1,False,4,8,derivative,0.1,2.0,1.9,2.0311020263750504e-06,8,0,576.0806125159879,6.430615235204094
bimodal_sep4_d1,False,4,8,derivative,0.05,2.0,1.95,2.4732104243510504e-07,8,0,576.0196412793505,6.429069346392388
bimodal_sep4_d1,False,4,8,derivative,0.025,2.0,1.975,3.052892475740815e-08,8,0,576.004848457206,6.428694336378891
bimodal_sep4_d1,False,4,8,exact,0.8,2.0,1.2,7.162138868140952e-05,12,4,583.9101891862194,6.632057353424167
bimodal_sep4_d1,False,4,8,exact,0.4,2.0,1.6,9.85026962002975e-07,12,4,577.5226234631003,6.467279155072164
bimodal_sep4_d1,False,4,8,exact,0.2,2.0,1.8,2.251959843677576e-08,12,4,576.340002995132,6.437195856863058
bimodal_sep4_d1,False,4,8,exact,0.1,2.0,1.9,6.050775877227813e-10,12,4,576.0806125159879,6.430615235204094
bimodal_sep4_d1,False,4,8,exact,0.05,2.0,1.95,1.756665766623534e-11,12,4,576.0196412793505,6.429069346392388
bimodal_sep4_d1,False,4,8,exact,0.025,2.0,1.975,5.294304462443543e-13,12,4,576.004848457206,6.428694336378891
bimodal_sep4_d1,False,5,16,denoised,0.8,2.0,1.2,0.0016102396711243298,16,0,7503.41349441063,7.445251936680249
bimodal_sep4_d1,False,5,16,denoised,0.4,2.0,1.6,0.0001275998477975327,16,0,7719.069202568546,7.316700144788263
bimodal_sep4_d1,False,5,16,denoised,0.2,2.0,1.8,1.2896124335074408e-05,16,0,7759.70719707801,7.292645559748294
bimodal_sep4_d1,False,5,16,denoised,0.1,2.0,1.9,1.4573191837157647e-06,16,0,7768.648000585601,7.287358282210884
bimodal_sep4_d1,False,5,16,denoised,0.05,2.0,1.95,1.7343003589645926e-07,16,0,7770.750997887846,7.2861148827896915
bimodal_sep4_d1,False,5,16,denoised,0.025,2.0,1.975,2.1159369218120526e-08,16,0,7771.261306993566,7.285813175440154
bimodal_sep4_d1,False,5,16,derivative,0.8,2.0,1.2,0.0009775308259731316,16,0,7503.41349441063,7.445251936680249
bimodal_sep4_d1,False,5,16,derivative,0.4,2.0,1.6,7.933089872726987e-05,16,0,7719.069202568546,7.316700144788263
bimodal_sep4_d1,False,5,16,derivative,0.2,2.0,1.8,8.602947005913105e-06,16,0,7759.70719707801,7.292645559748294
bimodal_sep4_d1,False,5,16,derivative,0.1,2.0,1.9,1.0154281828236328e-06,16,0,7768.648000585601,7.287358282210884
bimodal_sep4_d1,False,5,16,derivative,0.05,2.0,1.95,1.236524700064725e-07,16,0,7770.750997887846,7.2861148827896915
bimodal_sep4_d1,False,5,16,derivative,0.025,2.0,1.975,1.5263927998650796e-08,16,0,7771.261306993566,7.285813175440154
bimodal_sep4_d1,False,5,16,exact,0.8,2.0,1.2,2.549463359034786e-06,27,11,7503.41349441063,7.445251936680249
bimodal_sep4_d1,False,5,16,exact,0.4,2.0,1.6,1.4222665101850132e-08,27,11,7719.069202568546,7.316700144788263
bimodal_sep4_d1,False,5,16,exact,0.2,2.0,1.8,1.4721047756741497e-10,27,11,7759.70719707801,7.292645559748294
bimodal_sep4_d1,False,5,16,exact,0.1,2.0,1.9,1.8859763531082264e-12,27,11,7768.648000585601,7.287358282210884
bimodal_sep4_d1,False,5,16,exact,0.05,2.0,1.95,2.745111316737594e-14,27,11,7770.750997887846,7.2861148827896915
bimodal_sep4_d1,False,5,16,exact,0.025,2.0,1.975,5.988358241216098e-15,27,11,7771.261306993566,7.285813175440154
